"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"cat","dog","lizard","lop bunny","hamster","elephant","rhino","hippo","zebra","giraffe","parrot","spider","dolphin","wale","shrimp","salmon","otter","seal","crab","","","","","","","","","","","","","","","",""
"monkey","cat","dog","fish","goat","sheep","gorilla","rhino","hippo","lion","sea lion","otter","tiger","whale","shark","llama","tiger","jaguar","coyote","","","","","","","","","","","","","","","",""
"dog","cat","snake","rabbit","deer","sloth","monkey","lion","dinosaur","flamingo","bat","gorilla","panda","iguana","armadillo","lizard","bear","bird","donkey","elephant","","","","","","","","","","","","","","",""
"penguin","tiger","lamb","elephant","monkey","possum","walrus","chimpanzee","baboon","lion","bear","leopard","seal","dugong","seahorse","duck","babelfish","rhino","t-rex","sea cucumber","","","","","","","","","","","","","","",""
"zebra","cow","groundhog","racoon","mouse","dog","cat","rat","mouse","spider","horse","pig","lion","tiger","bear","snake","elephant","hippo","moose","","","","","","","","","","","","","","","",""
"ant","penguin","giraffe","elephant","dodo","lory","hare","rabbit","ostrich","flamingo","peacock","monkey","lion","dog","cat","horse","mule","cow","porcupine","platypus","kangaroo","finch","","","","","","","","","","","","",""
"giraffe","lion","dog","cat","zebra","elephant","cougar","tiger","panda","monkey","koala","gorilla","bird","kangaroo","buffalo","horse","","","","","","","","","","","","","","","","","","",""
"ant","armadillo","cat","dog","mouse","horse","cow","bird","zebra","elephant","tier","lion","bear","squirrel","frog","lizard","pig","donkey","goat","lamb","sheep","rat","mongoose","moose","deer","rabbit","salamander","","","","","","","",""
"giraffe","cat","dog","fish","parrot","coyote","fox","zebra","lion","beaver","otter","llama","alpaca","turtle","raccoon","deer","horse","antelope","warthog","","","","","","","","","","","","","","","",""
"dog","cat","horse","mouse","rat","sheep","goat","fish","bird","seal","penguin","polar bear","bear","deer","skunk","racoon","","","","","","","","","","","","","","","","","","",""
"lion","tiger","bear","giraffe","turtle","squirrel","panda","rat","hamster","dog","cat","rabbit","donkey","fox","wolf","bat","snake","","","","","","","","","","","","","","","","","",""
"kangaroo","cat","dot","wombat","fruitfly","zebra","horse","cow","pigeon","platypus","orangutang","elephant","monkey","peacock","ferret","rat","rabbit","tiger","lion","serval","bear","snake","","","","","","","","","","","","",""
"giraffe","lion","tiger","cheetah","cat","dog","lemur","rhino","elephant","dolphin","fish","shark","bird","gorilla","monkey","","","","","","","","","","","","","","","","","","","",""
"cow","pig","chicken","goat","dog","cat","hamster","snake","bird","lizard","turtle","fish","deer","bear","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","rabbit","frog","bear","snake","bird","dog","lizard","octopus","giraffe","elephant","lion","tiger","fish","rat","mouse","mole","","","","","","","","","","","","","","","","",""
"dog","cat","fish","bird","cow","pig","goat","owl","squirrel","elephant","lion","tiger","bear","liger","mountain lion","deer","antelope","zebra","hog","","","","","","","","","","","","","","","",""
"llama","alpaca","dog","hedgehog","porcupine","cat","fish","dolphin","whale","cow","camel","skunk","octopus","dinosaur","snake","panda","bear","polar bear","parrot","bird","spider","butterfly","","","","","","","","","","","","",""
"dog","cat","fish","bird","alligator","dinosaur","horse","snake","turtle","dolphin","shark","mouse","gerbil","hamster","monkey","gorilla","wolf","bear","hippo","giraffe","","","","","","","","","","","","","","",""
"dog","cat","mouse","fish","snake","elephant","tiger","monkey","bug","rabbit","pig","guinea pig","giraffe","","","","","","","","","","","","","","","","","","","","","",""
"fox","dog","cat","horse","rat","mouse","elephant","cow","duck","goose","fish","bird","ant","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","fish","horse","pig","lion","tiger","bear","eagle","butterfly","bird","wolf","zebra","snake","shark","turtle","","","","","","","","","","","","","","","","","","",""
"cat","dog","horse","rabbit","hamster","horse","pig","kitten","bird","eagle","bunny","ostrich","panda","polar bear","bear","tiger","","","","","","","","","","","","","","","","","","",""
"eel","zebra","cat","dog","snake","snail","cow","bird","giraffe","hippo","moose","goose","fox","horse","pig","sheep","goat","monkey","lizard","fish","shark","dolphin","butterfly","moth","","","","","","","","","","",""
"deer","dog","cat","elephant","bird","fish","lizard","snake","hamster","zebra","lion","tiger","bear","rat","mouse","bug","alligator","","","","","","","","","","","","","","","","","",""
"dog","cat","koala bear","polar bear","lion","cheetah","chimpanzee","chimpanzee","cow","goat","llama","zebra","hamster","pig","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","cheetah","owl","whale","shark","cow","horse","pig","chicken","bull","goat","dolphin","sea fish","racoon","squirrel","lion","","","","","","","","","","","","","","","","","",""
"giraffe","cat","dog","bear","snake","lizard","goat","chicken","rooster","pig","whale","dolphin","seahorse","lion","tiger","dodo bird","pelican","swan","jellyfish","oyster","manatee","penguin","stingray","","","","","","","","","","","",""
"bird","bee","bat","pig","cow","dog","moose","elephant","lion","giraffe","rhino","anteater","monkey","snake","lizard","frog","","","","","","","","","","","","","","","","","","",""
"dog","cat","lion","tiger","bear","bird","spider","human","squirrel","zebra","elephant","giraffe","snake","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","giraffe","fish","pig","goat","lion","bird","zebra","hamster","guinea pig","jaguar","elephant","","","","","","","","","","","","","","","","","","","","","",""
"zebra","lion","tiger","bear","goose","duck","bird","squirrel","frog","mouse","racoon","rabbit","dog","cat","snake","","","","","","","","","","","","","","","","","","","",""
"dog","cat","money","mouse","deer","rabbit","bunny","fish","panda bear","black bear","reindeer","snake","spider","ladybug","cockroach","ant","elephant","","","","","","","","","","","","","","","","","",""
"dog","cat","snake","cheetah","fish","shark","kangaroo","elephant","frog","ape","monkey","bear","horse","cow","donkey","","","","","","","","","","","","","","","","","","","",""
"elephant","giraffe","zebra","monkey","gorilla","bobcat","lemur","tiger","lion","wolf","dog","cat","ferret","gerbil","hamster","tarantula","snake","lizard","bunny","fox","eagle","horse","jack rabbit","","","","","","","","","","","",""
"dog","cat","fish","snake","rat","mouse","dolphin","alligator","bird","bear","walrus","blowfish","fly","","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","snake","cow","pig","donkey","rabbit","deer","racoon","opossum","bird","bull","horse","bear","panda","python","wildebeest","owl","","","","","","","","","","","","","","","","",""
"cat","dog","horse","cow","goat","rhino","zebra","fish","giraffe","hippo","lemur","tiger","frog","[pig","bird","reptile","sporian","pica","mouser","rat","goose","moose","hare","rabbit","yeast","","","","","","","","","",""
"dog","cat","bird","fox","bear","fish","snake","lizard","rabbit","squirrel","","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","dolphin","elephant","mouse","deer","fox","wolf","tiger","panther","flamingo","ostrich","shark","monkey","rhino","hippo","","","","","","","","","","","","","","","","","","",""
"cat","dog","elephant","mouse","bird","eagle","owl","donkey","human","whale","dolphin","fish","loin","zebra","monkey","snake","anteater","","","","","","","","","","","","","","","","","",""
"bird","gee","elephant","walrus","penguin","giraffe","lion","dog","cat","hamster","owl","horse","squirrel","rat","mouse","snake","","","","","","","","","","","","","","","","","","",""
"cat","dog","fish","bird","panda","elephant","chicken","cow","whale","octopus","bear","racoon","squirrel","ant","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","fish","ferret","mole rat","weasel","eagle","falcon","elephant","lion","tiger","bear","gorilla","giraffe","rhino","alligator","meerkat","mole","opossum","rat","","","","","","","","","","","","","","",""
"life","creature","critter","mammal","bug","dog","cat","fish","chicken","goat","giraffe","pig","monkey","ape","whale","mouse","roaster","turkey","","","","","","","","","","","","","","","","",""
"horse","cat","dog","elephant","giraffe","cow","pig","sheep","wolf","lion","tiger","bear","rhino","hippo","zebra","warthog","goat","mouse","rabbit","deer","skunk","fox","squirrel","bird","","","","","","","","","","",""
"dog","cat","fish","racoon","squirrel","rat","rabbit","hamster","bird","eagle","cricket","pig","elephant","zebra","monkey","human","kitty","whale","shark","dolphin","","","","","","","","","","","","","","",""
"horse","dog","cat","bunny","zebra","lion","bird","snake","spider","slug","rat","ant","mouse","alligator","fish","shrimp","dolphin","shark","chinchilla","","","","","","","","","","","","","","","",""
"dog","cat","cow","moose","mouse","chicken","bird","squirrel","hamster","gorilla","monkey","hippo","lion","deer","","","","","","","","","","","","","","","","","","","","",""
"lion","cat","bear","dog","deer","duck","alligator","eagle","swan","dove","mouse","rat","opossum","raccoon","snake","frog","fish","parrot","lizard","cow","pig","sheep","lamb","","","","","","","","","","","",""
"bird","dragon","cat","dog","pig","ant","rabbit","spider","goose","human","human","elephant","eagle","hamster","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","sheep","goat","pig","wolf","fish","bird","shark","cow","horse","snake","hamster","guinea pig","whale","penguin","panda","raccoon","baboon","rabbit","","","","","","","","","","","","","","",""
"monkey","bird","dolphin","chihuahua","siberian husky","human","chimpanzee","koala","kangaroo","chicken","duck","dog","cat","fish","trout","bass","donkey","horse","seagull","whale","shark","manatee","butterfly","","","","","","","","","","","",""
"giraffe","kangaroo","penguin","otter","penguin","turtle","platypus","snake","fish","whale","shrimp","dog","cat","mouse","parrot","monkey","chicken","pig","cow","","","","","","","","","","","","","","","",""
"cat","dog","mouse","chicken","dragon","monkey","wolf","fox","bird","lion","red panda","turtle","shark","frog","llama","horse","","","","","","","","","","","","","","","","","","",""
"dog","cat","goat","pig","mouse","elephant","rat","gunny pig","sheep","lamb","hog","chicken","roster","chimpanzee","monkey","flamingo","bird","armadillo","ant","snake","turtle","fish","","","","","","","","","","","","",""
"zebra","giraffe","cat","dog","lion","tiger","lizard","skunk","rat","mouse","liger","elephant","frog","iguana","fish","seal","shark","turtle","koala","bear","","","","","","","","","","","","","","",""
"cheetah","lion","bear","rat","giraffe","snake","beaver","zebra","octopus","whale","dolphin","star fish","crab","lobster","snail","pig","goat","lamb","bat","cat","","","","","","","","","","","","","","",""
"tiger","lion","bear","cougar","elephant","ant","mouse","cat","dog","horse","bear","donkey","frog","insect","butterfly","jaguar","tiger","antelope","hippo","rhino","turtle","","","","","","","","","","","","","",""
"cat","dog","owl","bird","shark","lion","tiger","monkey","whale","rabbit","serval","kangaroo","snake","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","bird","giraffe","monkey","zebra","hedgehog","donkey","elephant","tiger","bear","snake","lizard","hippo","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","horse","hen","goat","buffalo","cow","chicken","fish","dolphin","whale","bird","mouse","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","giraffe","zebra","cat","horse","pig","chicken","ostrich","tiger","lion","bear","mouse","mouse","monkey","snake","spider","ant","ant","snail","cow","fish","","","","","","","","","","","","",""
"zebra","elephant","tiger","giraffe","rhino","monkey","dog","cat","fish","panda","kangaroo","hippo","","","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","fish","bird","turtle","bear","lion","tiger","cheetah","whale","gorilla","fox","racoon","squirrel","duck","","","","","","","","","","","","","","","","","","","",""
"dog","cat","bird","rat","snake","alligator","wolf","lamb","deer","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","lion","mouse","mouse","tiger","monkey","bird","snake","spider","elephant","zebra","gerbil","snake","ant","worm","","","","","","","","","","","","","","","","","","",""
"dog","polar bear","penguin","lion","giraffe","zebra","cat","tiger","lion","gorilla","monkey","whale","shark","fish","sea gull","starfish","antelope","deer","snake","monkey","elephant","hippo","","","","","","","","","","","","",""
"dog","cat","whale","monkey","koala","snake","giraffe","elephant","tiger","lion","bear","baboon","gorilla","racoon","squirrel","moose","rat","bird","lemur","rhino","","","","","","","","","","","","","","",""
"dog","cat","bird","fish","elephant","tiger","monkey","cricket","rat","snake","lizard","bunny","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","bird","zebra","mouse","elephant","squirrel","lizard","fish","shark","whale","grouper","dolphin","","","","","","","","","","","","","","","","","","","","","",""
"monkey","cow","pig","dog","cat","bear","fox","wolf","turtle","fish","hamster","snake","rabbit","zebra","shark","lion","tiger","","","","","","","","","","","","","","","","","",""
"dog","cat","horse","goat","rabbit","crab","fish","bird","squirrel","monkey","elephant","giraffe","otter","alpaca","skunk","llama","camel","pony","fox","deer","dove","","","","","","","","","","","","","",""
"pet","beast","creature","cat","dog","lion","tiger","bear","monkey","giraffe","elephant","baboon","ferret","","","","","","","","","","","","","","","","","","","","","",""
"goat","cat","meerkat","lion","husky","whale","bird","red panda","gecko","bearded dragon","python","tarantula","newt","","","","","","","","","","","","","","","","","","","","","",""
"horse","dog","cat","gorilla","monkey","rat","snake","cow","pig","goat","chicken","bird","cardinal","crocodile","alligator","flamingo","elephant","lion","tiger","","","","","","","","","","","","","","","",""
"cat","dog","hamster","wolf","guinea pig","pig","penguin","bear","snake","whale","dolphin","fish","seal","sting ray","elephant","giraffe","tiger","panda","monkey","bunny","possum","ant eater","","","","","","","","","","","","",""
"monkey","dog","cat","sheep","donkey","horse","fish","tiger","zebra","giraffe","pig","bird","flamingo","ant","spider","snake","rat","lizard","rabbit","turtle","","","","","","","","","","","","","","",""
"cat","dog","elephant","tiger","lion","giraffe","monkey","chicken","duck","ostrich","bat","cow","pig","goat","bird","zebra","prairie dog","chinchilla","lizard","iguana","","","","","","","","","","","","","","",""
"chihuahua","dog","cat","penguin","bear","rabbit","snake","squirrel","deer","duck","goose","skunk","hippo","elephant","alligator","rhinocero","cow","horse","pig","goat","camel","","","","","","","","","","","","","",""
"dog","cat","rabbit","bird","gorilla","monkey","squirrel","horse","pig","hog","wolf","lion","cardinal bird","dinosaur","fish","shrimp","bass","octopus","dolphin","shark","whale","donkey","clam","oyster","","","","","","","","","","",""
"goat","sheep","rabbit","dog","cat","squirrel","alpaca","deer","chicken","cow","monkey","llama","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","hen","cow","chipmunk","rabbit","moose","rat","lizard","bird","alligator","bear","dolphin","whale","fish","shark","coral","duck","swan","raven","pigeon","","","","","","","","","","","","",""
"dog","cat","fish","giraffe","elephant","bear","donkey","gorilla","money","monkey","duck","chicken","cow","goose","pig","horse","rabbit","hare","tortiou","turtle","frog","cricket","spider","snake","kangaroo","koala","sheep","goat","","","","","","",""
"tiger","cheetah","bear","squirrel","cat","dog","human","panther","hamster","fish","porcupine","giraffe","elephant","gorilla","dolphin","whale","at","hippo","","","","","","","","","","","","","","","","",""
"cat","dog","zebra","chocolate lab","black lab","yellow lab","tiger","monkey","whale","dolphin","shark","seal","walrus","bird","worm","squirrel","deer","lion","panada","","","","","","","","","","","","","","","",""
"cat","dog","hamster","parrot","goat","cow","hog","ant","ant eater","tiger","lynx","lion","bear","deer","snake","rat","mouse","ferret","","","","","","","","","","","","","","","","",""
"cat","dog","mouse","snake","tiger","frog","moose","elephant","deer","raccoon","polar bear","bear","fish","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","hamster","bird","tiger","goose","duck","monkey","giraffe","dinosaur","turtle","fish","lion","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","fish","horse","bird","rat","mouse","deer","lion","tiger","bear","monkey","chimp","opossum","elephant","turtle","roach","ant","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","elephant","tiger","lion","tiger","bear","snake","ant eater","giraffe","flamingo","penguin","horse","duck","goose","fish","rat","bug","","","","","","","","","","","","","","","",""
"dog","cat","bear","dolphin","frog","ant","snake","spider","bird","rabbit","fish","whale","zebra","hippo","manatee","polar bear","moose","deer","lobster","shrimp","starfish","sting ray","","","","","","","","","","","","",""
"cat","dog","pig","bull","wolf","goldfish","turtle","giraffe","zebra","rattlesnake","naked molerat","tigers ""","lion","bear","bird","flamingo","fish","","","","","","","","","","","","","","","","","",""
"dog","cat","fish","monkey","tiger","lion","bird","hamster","snake","horse","giraffe","camel","rhino","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","owl","wolf","rat","raccoon","lion","tiger","bear","shark","crab","bear","ant eater","bird","hawk","eagle","","","","","","","","","","","","","","","","","","",""
"dog","cat","cow","horse","cheetah","tiger","lion","bear","frog","bull","giraffe","snake","hamster","","","","","","","","","","","","","","","","","","","","","",""
"elephant","cat","dog","mouse","rabbit","snake","spider","giraffe","tiger","bear","lion","fish","shark","hamster","ferret","donkey","bird","horse","pony","goat","","","","","","","","","","","","","","",""
"dog","cat","giraffe","monkey","pig","bird","guinea pig","hamster","cow","zebra","tiger","lion","eagle","dolphin","shark","seahorse","bear","polar bear","deer","possum","sheep","koala","snake","rabbit","frog","ladybug","spider","bunny","","","","","","",""
"cat","dog","monkey","fish","bird","lion","tiger","snake","turtle","rat","cow","horse","pig","chicken","duck","worm","bee","ant","spider","crocodile","alligator","eagle","","","","","","","","","","","","",""
"dog","cat","hawk","fish","lion","tiger","bear","giraffe","koala","snake","hamster","","","","","","","","","","","","","","","","","","","","","","","",""
"cow","cat","dog","rabbit","turtle","giraffe","elephant","tiger","lion","bird","bear","mouse","rat","rhino","hippo","goat","horse","possum","raccoon","","","","","","","","","","","","","","","",""
"dog","cat","cow","duck","monkey","elephant","giraffe","zebra","horse","fish","bird","dinosaur","turtle","alligator","spider","fly","moth","owl","squirrel","goose","","","","","","","","","","","","","","",""
"giraffe","koala bear","snake","spider","ant","roach","bird","worm","mosquitoe","monkey","zebra","cheetah","bull","horse","shark","","","","","","","","","","","","","","","","","","","",""
"penguin","giraffe","lion","tiger","bear","bird","monkey","fish","alligator","elephant","chimpanzee","flamingo","shark","whale","","","","","","","","","","","","","","","","","","","","",""
"lion","monkey","dog","lion","tiger","leopard","snake","frog","giraffe","donkey","horse","fish","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","rabbit","deer","elephant","rhino","giraffe","seagull","eagle","bear","tiger","lion","zebra","bat","hyena","seal","","","","","","","","","","","","","","","","","",""
"lemur","ape","dog","cat","monkey","giraffe","lion","tiger","bear","snake","dolphin","fish","crab","shrimp","tuna","squirrel","racoon","cock roach","ant","bee","hamster","pig","horse","cow","bunny","","","","","","","","","",""
"dog","cat","fish","panda","koala bear","monkey","lion","tiger","cheetah","owl","mouse","giraffe","dolphin","whale","shark","","","","","","","","","","","","","","","","","","","",""
"dog","cat","giraffe","octopus","panda","bird","fish","horse","cow","parrot","donkey","cheetah","sheep","leopard","monkey","ape","gorilla","","","","","","","","","","","","","","","","","",""
"giraffe","dog","cat","lion","beaver","skunk","monkey","pig","owl","horse","frog","zebra","leopard","fish","gorilla","elephant","duck","turkey","cow","shark","tarantula","koala","","","","","","","","","","","","",""
"dog","cat","horse","bird","fish","shark","rhino","hippo","llama","moose","goose","rat","hamster","deer","elephant","snake","turtle","monkey","","","","","","","","","","","","","","","","",""
"giraffe","dog","cat","fish","dolphin","shark","turtle","whale","bear","penguin","seal","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","elephant","chipmunk","tiger","cheetah","horse","monkey","chimpanzee","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","rabbit","squirrel","bear","lion","tiger","flamingo","bird","fly","sheep","","","","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","fish","giraffe","elephant","monkey","lizard","frog","snake","rabbit","bird","cheetah","deer","skunk","bear","","","","","","","","","","","","","","","","","","","",""
"butterfly","mosquito","mountain lion","tiger","cat","dog","trout","large-mouth bass","small-mouth bass","white-tailed deer","flying squirrel","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","cow","ant","bull","horse","piny","pony","bird","chicken","rooster","hen","goat","pig","whale","fish","","","","","","","","","","","","","","","","","","",""
"cat","dog","mouse","rat","gerbil","fish","tiger","lion","bear","lizard","snake","ape","giraffe","elephant","chimpanzee","parrot","hermit crab","whale","","","","","","","","","","","","","","","","",""
"cat","dog","cheetah","seal","fish","bird","bear","beaver","pig","chicken","goat","cow","sheep","lamb","donkey","lion","tiger","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","monkey","fish","rabbit","snake","giraffe","panda","black bear","koala","kangaroo","elephant","","","","","","","","","","","","","","","","","","","","","",""
"bird","cat","dog","flamingo","bee","frog","turtle","fish","sting ray","shark","jelly fish","crab","bunny","racoon","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","lion","tiger","raccoon","coyote","wolf","beaver","moose","caribou","platypus","lemur","giraffe","zebra","parrot","seal","","","","","","","","","","","","","","","","","","",""
"dog","cat","lizard","shark","bear","goat","llama","hamster","fox","turkey","pig","bird","cow","","","","","","","","","","","","","","","","","","","","","",""
"cow","chicken","dog","cat","fish","lion","leopard","elephant","rhino","giraffe","lizard","spider","mouse","","","","","","","","","","","","","","","","","","","","","",""
"snake","pig","dog","cat","zebra","giraffe","armadillo","frog","ant","roach","tiger","lion","elephant","crocodile","fish","hamster","","","","","","","","","","","","","","","","","","",""
"cat","dog","parrot","bird","ant","mouse","lion","tiger","panda","fish","squirrel","monkey","roach","","","","","","","","","","","","","","","","","","","","","",""
"rabbit","monkey","dog","goat","fish","bear","panda bear","bear cat","groundhog","gopher","deer","cardinal","wildebeest","caribou","buffalo","cow","pig","chicken","lizard","","","","","","","","","","","","","","","",""
"dog","cat","mouse","elephant","bird","turtle","tortoise","shark","jellyfish","clam","oyster","shrimp","crab","lobster","cow","horse","sheep","ram","boar","pig","cheetah","lion","panther","cougar","platypus","giraffe","","","","","","","","",""
"dog","cat","horse","frog","mouse","snake","zebra","lion","bird","skunk","boar","pig","deer","elk","opossum","","","","","","","","","","","","","","","","","","","",""
"giraffe","elephant","monkey","cat","dog","squirrel","hippo","zebra","lion","tiger","bear","bird","bobcat","deer","fox","wolf","fish","roadrunner","","","","","","","","","","","","","","","","",""
"dog","cat","elephant","giraffe","zebra","sugar glider","mouse","hamster","fish","monkey","bird","ferret","rabbit","fox","bear","lion","tiger","groundhog","","","","","","","","","","","","","","","","",""
"dog","cat","squirrel","guinea pig","rat","snack","snake","deer","goose","fish","octopus","jelly fish","raccoon","monkey","giraffe","baboon","whale","alligator","","","","","","","","","","","","","","","","",""
"dog","cat","panda","pig","cow","bear","flamingo","horse","bunny","rat","snake","groundhog","hedgehog","wolf","lion","deer","squirrel","","","","","","","","","","","","","","","","","",""
"whale","goldfish","bass","cat","lion","tiger","bear","chetah","dog","fox","hound","clown fish","shark","seal","turtle","cobra","rattle snake","monkey","ape","kangaroo","","","","","","","","","","","","","","",""
"dog","cat","frog","lizard","cow","beaver","deer","turtle","snake","fish","crab","monkey","","","","","","","","","","","","","","","","","","","","","","",""
"pig","dog","cat","tiger","koala","giraffe","elephant","squirrel","rabbit","deer","bear","hamster","boar","bird","elk","","","","","","","","","","","","","","","","","","","",""
"cat","dog","horse","sea lion","turtle","frog","tiger","bear","bird","camel","giraffe","scorpion","monkey","elephant","kangaroo","koala","","","","","","","","","","","","","","","","","","",""
"bear","dog","cat","fish","giraffe","hippo","monkey","elephant","lizard","emu","kiwi","bird","snake","","","","","","","","","","","","","","","","","","","","","",""
"lion","tiger","bear","dog","cat","monkey","penguin","flamingo","raccoon","squirrel","lizard","snake","gerbil","hamster","rabbit","hare","turtle","fish","elephant","giraffe","pig","turkey","chicken","","","","","","","","","","","",""
"dog","cat","bear","lion","ape","monkey","giraffe","skunk","wolf","fox","leapord","cheetah","gazelle","hippo","toad","snake","bird","eagle","roach","deer","","","","","","","","","","","","","","",""
"dog","cat","zebra","giraffe","rabbit","snake","bird","lion","tiger","hamster","flamingo","bear","polar bear","","","","","","","","","","","","","","","","","","","","","",""
"giraffe","dog","cat","mouse","elephant","seal","bear","pig","horse","cow","bird","deer","racoon","zebra","monkey","","","","","","","","","","","","","","","","","","","",""
"cat","dog","tiger","cheetah","lion","goat","deer","opossum","cow","giraffe","bull","zebra","fish","whale","shark","dolphin","","","","","","","","","","","","","","","","","","",""
"dog","cat","big","cow","chicken","moose","monkey","elephant","camel","snack","ant","deer","rabbit","ferret","bird","bee","butterfly","","","","","","","","","","","","","","","","","",""
"cat","dog","zebra","monkey","fish","bird","groundhog","parrot","bear","bee","spider","butterfly","unicorn","horse","lizard","dinosaur","giraffe","elephant","whale","alligator","koala","panda","","","","","","","","","","","","",""
"dog","cat","mouse","tiger","lion","zebra","giraffe","grasshopper","fly","snake","frog","baboon","liger","cheetah","elephant","horse","pony","","","","","","","","","","","","","","","","","",""
"pig","cow","horse","duck","dog","cat","squirrel","moose","snake","lizard","spider","grasshopper","chicken","turkey","alligator","shark","dolphin","","","","","","","","","","","","","","","","","",""
"dog","cat","giraffe","cow","pig","rhino","tiger","jaguar","penguin","monkey","baboon","bird","antelope","anteater","polar bear","grizzly bear","lizard","snake","hamster","turtle","frog","zebra","","","","","","","","","","","","",""
"aardvark","platypus","dog","cat","bat","ant","fish","bird","seal","elephant","horse","donkey","sheep","goat","turtle","snake","frog","gorilla","lion","tiger","","","","","","","","","","","","","","",""
"monkey","dog","cat","fish","mouse","rat","lion","tiger","seagull","dolphin","bird","whale","shark","turtle","jelly fish","hamster","frog","rabbit","cow","sheep","bull","pig","lamp","turkey","chicken","hen","","","","","","","","",""
