id,Sample,d_age,d_gender,d_rc_01,d_rc_02,d_rc_03,d_rc_04,d_rc_05,d_rc_06,d_eth_01,d_eth_02,d_eth_03,d_eth_04,d_eth_05,d_eth_06,d_lang,d_olang,o_ffi,oi_bfas,o_neo,o_bfas,i_bfas,vf_an_01,vf_an_02,vf_an_03,vf_an_04,vf_an_05,vf_an_06,vf_an_07,vf_an_08,vf_an_09,vf_an_10,vf_an_11,vf_an_12,vf_an_13,vf_an_14,vf_an_15,vf_an_16,vf_an_17,vf_an_18,vf_an_19,vf_an_20,vf_an_21,vf_an_22,vf_an_23,vf_an_24,vf_an_25,vf_an_26,vf_an_27,vf_an_28,vf_an_29,vf_an_30,vf_an_31,vf_an_32,vf_an_33,vf_an_34,vf_an_35,vf_an_36,vf_an_37,vf_an_38,vf_an_39,vf_an_40,vf_an_41,vf_an_42,vf_an_43,vf_an_44,vf_an_45,vf_an_46,vf_an_47,vf_an_48,vf_an_49,vf_an_50,bfasi01,bfasi02,bfasi03,bfasi04,bfasi05,bfasi06,bfasi07,bfasi08,bfasi09,bfasi10,bfaso01,bfaso02,bfaso03,bfaso04,bfaso05,bfaso06,bfaso07,bfaso08,bfaso09,bfaso10,o01,o02,o03,o04,o05,o06,o07,o08,o09,o10,o11,o12,neo_01,neo_02,neo_03,neo_04,neo_05,neo_06,neo_07,neo_08,neo_09,neo_10,neo_100,neo_101,neo_102,neo_103,neo_104,neo_105,neo_106,neo_107,neo_108,neo_109,neo_11,neo_110,neo_111,neo_112,neo_113,neo_114,neo_115,neo_116,neo_117,neo_118,neo_119,neo_12,neo_120,neo_121,neo_122,neo_123,neo_124,neo_125,neo_126,neo_127,neo_128,neo_129,neo_13,neo_130,neo_131,neo_132,neo_133,neo_134,neo_135,neo_136,neo_137,neo_138,neo_139,neo_14,neo_140,neo_141,neo_142,neo_143,neo_144,neo_145,neo_146,neo_147,neo_148,neo_149,neo_15,neo_150,neo_151,neo_152,neo_153,neo_154,neo_155,neo_156,neo_157,neo_158,neo_159,neo_16,neo_160,neo_161,neo_162,neo_163,neo_164,neo_165,neo_166,neo_167,neo_168,neo_169,neo_17,neo_170,neo_171,neo_172,neo_173,neo_174,neo_175,neo_176,neo_177,neo_178,neo_179,neo_18,neo_180,neo_181,neo_182,neo_183,neo_184,neo_185,neo_186,neo_187,neo_188,neo_189,neo_19,neo_190,neo_191,neo_192,neo_193,neo_194,neo_195,neo_196,neo_197,neo_198,neo_199,neo_20,neo_200,neo_201,neo_202,neo_203,neo_204,neo_205,neo_206,neo_207,neo_208,neo_209,neo_21,neo_210,neo_211,neo_212,neo_213,neo_214,neo_215,neo_216,neo_217,neo_218,neo_219,neo_22,neo_220,neo_221,neo_222,neo_223,neo_224,neo_225,neo_226,neo_227,neo_228,neo_229,neo_23,neo_230,neo_231,neo_232,neo_233,neo_234,neo_235,neo_236,neo_237,neo_238,neo_239,neo_24,neo_240,neo_25,neo_26,neo_27,neo_28,neo_29,neo_30,neo_31,neo_32,neo_33,neo_34,neo_35,neo_36,neo_37,neo_38,neo_39,neo_40,neo_41,neo_42,neo_43,neo_44,neo_45,neo_46,neo_47,neo_48,neo_49,neo_50,neo_51,neo_52,neo_53,neo_54,neo_55,neo_56,neo_57,neo_58,neo_59,neo_60,neo_61,neo_62,neo_63,neo_64,neo_65,neo_66,neo_67,neo_68,neo_69,neo_70,neo_71,neo_72,neo_73,neo_74,neo_75,neo_76,neo_77,neo_78,neo_79,neo_80,neo_81,neo_82,neo_83,neo_84,neo_85,neo_86,neo_87,neo_88,neo_89,neo_90,neo_91,neo_92,neo_93,neo_94,neo_95,neo_96,neo_97,neo_98,neo_99,filter_$
18,1,18,1, , , , , , ,0,0,0,0,0,1,0,99,2.66666666666667,3.45, ,2,4.9,cat,dog,cow,elephant,giraffe,snake,bird,fish,monkey,raccoon,scorpion,bee,parrott,bear,deer,turkey,chicken,bull,human,99,99,99,99,99,99,99,99,99, , , , , , , , , , , , , , , , , , , , , , ,5,4,5,5,5,5,5,5,5,5,2,2,2,1,2,1,4,2,2,2,1,5,2,5,2,1,2,5,1,1,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
21,1, , , , , , , , , , , , , , , ,99,3.83333333333333,3.7, ,4,3.4,bear,dog,cat,wolf,snake,rat,bat,guinea pig,pig,horse,cow,donkey,lion,jaguar,ocelot,caracal,salmon,bird,hawk,racoon,deer,frog,hog,fox,99,99,99,99, , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,3,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,4,5,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
24,1,18,1, , , , , , ,0,0,1,0,0,0,0,99,3.66666666666667,3.75, ,4.1,3.4,Dog,Cat,Horse,Giraffee,Turtle,Sugar glider,Hippo,Rhino,Lion,Tiger,Wolf,Fox,Elephant,Zebra,Deer,Turkey,Chicken,Pheasant,Sparrow,Babboon,Monkey,99,99,99,99,99,99,99, , , , , , , , , , , , , , , , , , , , , , ,4,3,2,2,4,4,4,3,4,4,4,4,4,5,4,3,4,5,5,3,4,4,4,3,4,4,4,4,2,3,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
26,1,18,1, , , , , , ,1,0,0,0,0,0,0,99,3.41666666666667,3.4, ,3.3,3.5,elephant,lion,tiger,hippo,panda,camel,giraffe,monkey,gorilla,dolphin,whale,shark,jellyfish,snake,alligator,fox,possuk,deer,rabbit,bear,eagle,99,99,99,99,99,99,99, , , , , , , , , , , , , , , , , , , , , , ,3,4,2,4,4,4,3,4,3,4,3,3,4,4,5,2,5,2,1,4,4,5,3,4,4,4,1,4,3,2,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
27,1,21,1, , , , , , ,1,0,0,0,0,0,0,99,4.16666666666667,3.55, ,4,3.1,cat,dog,lizard,lop bunny,hamster,elephatn,rhino,hippo,zebra,giraffe,parrot,spider,dolphin,wale,shrimp,salmon,otter,seal,crab,99,99,99,99,99,99,99,99,99, , , , , , , , , , , , , , , , , , , , , , ,4,4,4,3,2,2,3,3,2,4,5,5,5,5,4,4,5,1,1,5,5,5,5,5,4,2,5,5,3,5,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
28,1, , , , , , , , , , , , , , , ,99,3.41666666666667,3.45, ,3.8,3.1,monkey,cat,dog,fish,goat,sheep,gorrilla,rhino,hippo,lion,sea lion,otter,tiger,whale,shark,llama,tiger,jaguar,coyote,99,99,99,99,99,99,99,99,99, , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,3,3,4,4,5,4,5,5,2,5,2,2,4,3,3,4,3,5,2,1,5,4,4,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
29,1,19,1, , , , , , ,0,0,0,0,0,1,0,99,4.5,3.8, ,4,3.6,dog,Cat,snake,rabbit,deer,sloth,monkey,lion,dinasor,flamingo,bat,gorilla,panda,iguana,amadillo,lizard,bear,bird,donkey,elephant,99,99,99,99,99,99,99,99, , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,5,3,2,3,4,3,4,4,4,3,4,4,4,5,4,4,4,5,4,4,4,4,5,5,4,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
30,1,19,0, , , , , , ,0,0,0,0,1,0,0,99,4.83333333333333,3.8, ,3.8,3.8,Penguin,Tiger,Lamb,Elephant,Monkey,Possum,Walrus,Chimpanzee,Baboon,Lion,Bear,Leopard,Seal,Dugong,Seahorse,Duck,Bablefish,Rhino,T-Rex,Sea Cucumber,99,99,99,99,99,99,99,99, , , , , , , , , , , , , , , , , , , , , , ,1,3,5,4,3,5,5,5,5,2,1,4,3,5,5,1,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
31,1,22,1, , , , , , ,0,0,1,0,0,0,0,99,4.83333333333333,3.95, ,4.1,3.8,zebra,cow,groundhog,racoon,mouse,dog,cat,rat,mouse,spider,horse,pig,lio,tiger,bear,snake,elephant,hippo,moose,99,99,99,99,99,99,99,99,99, , , , , , , , , , , , , , , , , , , , , , ,3,5,5,3,5,5,3,3,3,3,5,5,5,5,5,5,5,1,1,4,5,5,5,4,5,5,4,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
33,1,21,0, , , , , , ,0,0,1,0,0,0,0,99,4.58333333333333,4.3, ,4.5,4.1,Ant,Penguin,Giraffe,Elephant,Dodo,Lory,Hare,Rabbit,Ostritch,Flamingo,Peacock,Monkey,Lion,Dog,Cat,Horse,Mule,Cow,Porcupine,Platypus,Kangaroo,Finch,99,99,99,99,99,99, , , , , , , , , , , , , , , , , , , , , , ,4,5,4,3,3,4,5,5,4,4,5,3,4,5,4,4,5,5,5,5,5,5,5,4,4,4,4,5,5,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
34,1,18,1, , , , , , ,0,0,1,0,0,0,0,99,3,3.05, ,3.2,2.9,Giraffe,Lion,Dog,Cat,Zebra,Elephant,Cougar,Tiger,Panda,Monkey,Koala,Gorilla,Bird,Kangaroo,Buffalo,Horse,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , , , , , , , , , , , , , , , , ,3,3,3,2,3,4,2,3,4,2,3,4,3,3,2,3,4,3,3,4,3,4,2,4,3,3,3,3,2,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
