id,vf_an_01,vf_an_02,vf_an_03,vf_an_04,vf_an_05,vf_an_06,vf_an_07,vf_an_08,vf_an_09,vf_an_10,vf_an_11,vf_an_12,vf_an_13,vf_an_14,vf_an_15,vf_an_16,vf_an_17,vf_an_18,vf_an_19,vf_an_20,vf_an_21,vf_an_22,vf_an_23,vf_an_24,vf_an_25,vf_an_26,vf_an_27,vf_an_28,vf_an_29,vf_an_30,vf_an_31,vf_an_32,vf_an_33,vf_an_34,vf_an_35
31,zebra,cow,groundhog,racoon,mouse,dog,cat,rat,mouse,spider,horse,pig,lio,tiger,bear,snake,elephant,hippo,moose,99,99,99,99,99,99,99,99,99, , , , , , , 
33,Ant,Penguin,Giraffe,Elephant,Dodo,Lory,Hare,Rabbit,Ostritch,Flamingo,Peacock,Monkey,Lion,Dog,Cat,Horse,Mule,Cow,Porcupine,Platypus,Kangaroo,Finch,99,99,99,99,99,99, , , , , , , 
34,Giraffe,Lion,Dog,Cat,Zebra,Elephant,Cougar,Tiger,Panda,Monkey,Koala,Gorilla,Bird,Kangaroo,Buffalo,Horse,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
37,ant,amadillo,cat,dog,mouse,horse,cow,bird,zerba,elephant,tier,lion,bear,squirrel,frog,lizard,pig,donkey,goat,lamb,sheeo,rat,mongoose,moose,deer,rabbit,salamander,99, , , , , , , 
38,giraffe,cat,dog,fish,parrot,coyote,fox,zebra,lion,beaver,otter,llama,alpaca,turtle,raccoon,deer,horse,antelope,warthog,99,99,99,99,99,99,99,99,99, , , , , , , 
39,dog,cat,horse,mouse,rat,sheep,goat,fish,bird,seal,penguin,polar bear,bear,deer,skunk,racoon,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
40,lion,tigers,bears,giraffe,turtle,squirrel,panda,rat,hamster,dog,cat,rabbit,donkey,fox,wolf,bat,snake,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
41,kangaroo,cat,dot,wombat,fruitfly,zebra,horse,cow,pigeon,platypus,orangutang,elephant,monkey,peacock,ferret,rat,rabbit,tiger,lion,cerval,bear,snake,99,99,99,99,99,99, , , , , , , 
42,giraffe,lion,tiger,cheetah,cat,dog,lemur,rhinoceras,elephant,dolphin,fish,shark,bird,gorilla,monkey,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
43,cow,pig,chicken,goat,dog,cat,hamster,snake,bird,lizard,turtle,fish,deer,baer,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
44,cat,dog,rabbit,frog,bear,snake,bird,dog,liazard,octopus,giraffe,elephant,lion,tiger,fish,rat,mouse,mole,99,99,99,99,99,99,99,99,99,99, , , , , , , 
47,dog,cat,fish,bird,cow,pig,goat,owl,squirrel,elephant,lion,tiger,bear,liger,mountain lion,deer,analope,zebra,hog,99,99,99,99,99,99,99,99,99, , , , , , , 
48,llama,alpaca,dog,hedgehog,porcupine,cat,fish,dolphine,whale,cow,camel,skunk,octopus,dinosaur,snake,panda,bear,polar bear,parrot,bird,spider,butterfly,99,99,99,99,99,99, , , , , , , 
51,dog,cat,fish,bird,allegator,dinosaur,horse,snake,turtle,dolphin,shark,mouse,gerbil,hamster,monkey,gorilla,wolf,bear,hippo,giraffe,99,99,99,99,99,99,99,99, , , , , , , 
52,dog,cat,mouse,fish,snake,elaphant,tiger,monkey,bug,rabbit,pig,guinepig,giraffe,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
53,fox,dog,cat,hprse,rat,mouse,elephant,cow,duck,goose,fish,bird,ant,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
54,dog,cat,fish,horse,pig,lion,tiger,bear,eagle,butterfly,bird,wolf,zebra,snake,shark,turtle,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
55,cat,dog,horse,rabbit,hamster,horse,pig,kitten,bird,eagle,bunny,ostrig,panda,polor bear,bear,tiger,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
56,eel,zebra,cat,dog,snkae,snail,cow,bird,giraffe,hippo,moose,goose,fox,horse,pig,sheep,goat,monkey,lizard,fish,shark,dolphins,butterfly,moth,99,99,99,99, , , , , , , 
57,deer,dog,cat,elephant,bird,fish,lizard,snake,hampster,zebra,lion,tiger,bear,rat,mouse,bug,gator,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
58,dog,cat,koala bear,polar bear,lion,cheetah,chipmansee,chimpanzee,cow,goat,llama,zebra,hamster,pig,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
59,dog,cat,cheetah,owl,whale,shark,cow,horse,pig,chicken,bull,goat,dolphin,sea fish,racoon,squirrel,lion,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
63,giraffe,cat,dog,bear,snake,lizard,goat,chicken,rooster,pig,whale,dolphin,seahorse,lion,tiger,dodo bird,pelican,swan,jellyfish,oyster,manatee,penguin,stingray,99,99,99,99,99, , , , , , , 
65,bird,bee,bat,pig,cow,dog,moose,elephant,lion,giraffe,rhino,anteater,monkey,snake,lizard,frog,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
66,dog,cat,lion,tiger,bear,bird,spider,human,squirrel,zebra,elephant,girrafe,snake,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
71,dog,cat,giraffe,fish,pig,goat,lion,bird,zebra,hamster,ginea pig,jagur,elephant,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
72,zebra,lion,tiger,bears,goose,duck,bird,squirrel,frog,mice,racoon,rabbit,dog,cat,snakes,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
73,dog,cat,money,mouse,deer,rabbit,bunny,fish,panda bear,black bear,raindeer,snake,spinder,ladybug,cockroach,ant,elephant,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
74,dog,cat,snake,cheetah,fish,shark,kangroo,elephant,frog,ape,monkey,bear,horse,cow,donkey,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
75,elephant,giraffe,zebra,monkey,gorilla,bobcat,lemur,tiger,lion,wolf,dog,cat,ferret,gerbil,hamster,turantula,snake,lizard,bunny,fox,eagle,horse,jack rabbit,99,99,99,99,99, , , , , , , 
76,dog,cat,fish,snake,rat,mouse,dolphin,alligater,bird,bear,walrus,blowfish,fly,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
77,cat,dog,snake,cow,pig,donkey,rabbitt,deer,racoon,opossum,bird,bull,horse,bear,panda,python,willabeast,owl,99,99,99,99,99,99,99,99,99,99, , , , , , , 
78,cat,dog,horse,cow,goat,rhino,zebra,fish,giraffe,hippo,lemur,tiger,frog,[ig,bird,mreptile,sporian,pica,mouser,rat,goose,moose,hare,rabbit,yeast,99,99,99, , , , , , , 
79,dog,cat,bird,fox,bear,fish,snake,lizard,rabbit,squirrel,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
80,Dog,Cat,Dolphin,Elephant,Mouse,Deer,Fox,Wolf,Tiger,Panther,Flamingo,Ostritch,Shark,Monkey,Rhino,Hippo,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
81,cat,dog,elephant,mouse,bird,eagle,owl,donkey,human,whale,dolphin,fish,loin,zebra,monkey,snake,anteater,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
82,bird,gees,elephant,walrus,penguin,giraffe,lion,dog,cat,hamster,owl,horse,squirrel,rat,mouse,snake,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
83,Cat,Dog,Fish,Bird,Panda,Elephant,Chicken,Cow,Whale,Octopus,Bear,Racoon,Squirrel,Ant,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
84,cat,dog,fish,ferret,mole rat,weasel,eagle,falcon,elephant,lion,tiger,bear,gorilla,giraffe,rhino,alligator,merecats,moles,possom,rat,99,99,99,99,99,99,99,99, , , , , , , 
85,life,creatures,criters,mammals,bugs,dogs,cats,fish,chicken,goat,girraffe,pig,monkey,ape,whale,mouse,roaster,turkey,99,99,99,99,99,99,99,99,99,99, , , , , , , 
86,horse,cat,dog,elephant,giraffe,cow,pig,sheep,wolf,lion,tiger,bear,rhino,hippo,zebra,warthog,goat,mouse,rabbit,deer,skunk,fox,squirrel,bird,99,99,99,99, , , , , , , 
89,Dog,Cat,Fish,Racoon,Squirrel,Rat,Rabbit,Hamster,Bird,eagles,crickets,pigs,elpahnts,zebras,monkeys,humans,kitty,whales,sharks,dolphins,99,99,99,99,99,99,99,99, , , , , , , 
91,horse,dog,cat,bunny,zebra,lion,bird,snake,spider,slug,rat,ant,mice,alligator,fish,shrimp,dolphin,shark,chinchilla,99,99,99,99,99,99,99,99,99, , , , , , , 
92,dog,cat,cow,moose,mouse,chicken,bird,squirrel,hamster,gorilla,monkey,hippo,lion,deer,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
93,lion,cat,bear,dog,deer,duck,alligator,eagle,swan,dove,mouse,rat,opposum,raccoon,snake,frog,fish,parrot,lizard,cow,pig,sheep,lamb,99,99,99,99,99, , , , , , , 
94,birds,dragon,cat,dogs,pigs,ants,rabbit,spiders,goose,huamns,humans,elephant,eagle,hamster,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
95,cat,dog,sheep,goat,pig,wolf,fish,bird,shark,cow,horse,snake,hamstires,gunie pig,whale,penguin,panda,raccoon,bamboon,rabbit,99,99,99,99,99,99,99,99, , , , , , , 
96,monkey,bird,dolphin,chiuaua,siberian husky,human,chipanzee,koala,kangaroo,chicken,duck,dog,cat,fish,trout,bass,donkey,horse,seagull,whale,shark,manitee,butterfly,99,99,99,99,99, , , , , , , 
97,giraffe,kangaroo,penguin,otter,penguin,turtle,platypus,snake,fish,whale,shrimp,dog,cat,mouse,parrot,monkey,chicken,pig,cow,99,99,99,99,99,99,99,99,99, , , , , , , 
103,cat,dog,mouse,chiken,dragon,monkey,wolf,fox,bird,lion,red panda,turtle,shark,frog,llama,horse,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
104,dog,cat,goat,pig,mouse,elephant,rats,gunny pig,sheep,lambs,hog,chicken,roster,chimpanzee,monkey,flamingo,birds,armadillo,ants,snakes,turtles,fish,99,99,99,99,99,99, , , , , , , 
106,zebra,giraffe,cat,dog,lion,tiger,lizard,skunk,rat,mouse,liger,elephant,frog,iguana,fish,sealion,shark,turtle,koala,bear,99,99,99,99,99,99,99,99, , , , , , , 
107,cheetah,lion,bear,rat,giraffe,snake,beaver,zebra,octopus,whale,dolphin,star fish,crab,lobster,snail,pig,goat,lamb,bat,cat,99,99,99,99,99,99,99,99, , , , , , , 
108,tiger,lion,bear,cougar,elephant,ant,mouse,cat,dog,horse,bear,donkey,frog,insect,butterfly,jaguar,tiger,antelope,hippo,rhino,turtle,99,99,99,99,99,99,99, , , , , , , 
109,cat,dog,owl,bird,shark,lion,tiger,monkey,whale,rabbit,sevral,kangaroo,snake,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
118,dog,cat,bird,giraffee,monkey,zebra,hedgehog,donkey,elephant,tiger,bear,snake,lizard,hippo,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
119,dog,cat,horse,hen,goat,buffolo,cow,chicken,fish,dophin,whale,bird,mouse,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
120,dog,cat,giraffe,zebra,cat,horse,pig,chicken,ostrich,tiger,lion,bear,nouse,mouse,monkey,snake,spider,anyt,ant,snail,cow,fish,99,99,99,99,99,99, , , , , , , 
121,zebra,elephant,tiger,giraffe,rhino,monkey,dog,cat,fish,panda,kangaroo,hippopatomus,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
122,cat,dog,fish,bird,turlte,bear,lion,tiger,chettah,whale,gorilla,fox,racoon,squirrel,duck,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
123,dog,cat,bird,rat,snake,alligator,wolf,lamb,deer,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
124,dog,cat,lion,mouse,mice,tiger,monkey,bird,snake,spider,elephant,zebra,gerbal,snake,antsa,worms,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
125,dog,polar bear,penguin,lion,giraffe,zebra,cat,tiger,lion,gorilla,monkey,whale,shark,fish,sea gull,starfish,antelope,deer,snake,monkey,elephant,hippo,99,99,99,99,99,99, , , , , , , 
126,dog,cat,whale,monkey,koala,snake,giraffe,elephant,tiger,lion,bear,baboon,gorilla,racoon,squirrel,moose,rat,bird,lemur,rhino,99,99,99,99,99,99,99,99, , , , , , , 
127,dog,cat,bird,fish,elephant,tiger,monkey,cricket,rat,snake,lizard,bunny,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
128,dog,cat,bird,zebra,mouse,elephant,squirril,lizzard,fish,shark,whale,grouper,dolphin,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
129,monkey,cow,pig,dog,cat,bear,fox,wolf,turtle,fish,hamster,snake,rabbit,zebra,shark,lion,tiger,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
130,dog,cat,horse,goat,rabbitt,crab,fish,bird,squirrel,monkey,elephant,giraffe,otter,alpaca,skunk,llama,camel,pony,fox,deer,dove,99,99,99,99,99,99,99, , , , , , , 
131,pets,beasts,creatures,cats,dogs,lions,tigers,bears,monkeys,giraffes,elephants,baboons,farrot,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
132,goat,cat,meercat,lion,husky,whale,bird,red panda,geko,bearded dragon,python,turantula,newt,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
133,horse,dog,cat,gorilla,monkey,rat,snake,cow,pig,goat,chicken,bird,cardinal,croc,alligator,flamingo,elephant,lion,tiger,99,99,99,99,99,99,99,99,99, , , , , , , 
134,cat,dog,hamster,wolf,ginea pig,pig,penguin,bear,snake,whale,dolphin,fish,seal,sting ray,elephant,giraffe,tiger,panda,monkey,bunny,possum,ant eater,99,99,99,99,99,99, , , , , , , 
135,monkey,dog,cat,sheep,donkey,horse,fish,tiger,zebra,girafe,pig,bird,flamingo,ant,spider,snake,rat,lizard,rabbit,turtle,99,99,99,99,99,99,99,99, , , , , , , 
136,cat,dog,elephant,tiger,lion,giraffe,monkey,chicken,duck,ostrich,bat,cow,pig,goat,bird,zebra,prairie dog,chincilla,lizard,iguana,99,99,99,99,99,99,99,99, , , , , , , 
137,chihuahua,dog,cat,penguin,bear,rabbit,snake,squirrel,deer,duck,goose,skun,hipp,elephant,alligator,rhinoceros,cow,horse,pig,goat,camel,99,99,99,99,99,99,99, , , , , , , 
138,dog,cat,rabbit,bird,gorilla,monkey,squirrel,horse,pig,hog,wolf,lion,cardinal bird,dinosaur,fish,shrimp,bass,octopus,dolphin,shark,whale,donkey,clam,oyster,99,99,99,99, , , , , , , 
146,goat,sheep,rabbit,dog,cat,squrriel,alpaca,deer,chicken,cow,monkey,llama,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
147,dog,cat,mice,hen,cow,chipmunk,rabbit,moose,rat,lizard,bird,alligator,bear,dolphin,whale,fish,shark,coral,duck,swan,raven,pigeon,99,99,99,99,99,99, , , , , , , 
148,dog,cat,fish,giraffe,elephant,bear,donkey,gorilla,money,monkey,duck,chicken,cow,goose,pig,horse,rabbit,hare,tortious,turtle,frog,cricket,spider,snake,kangaroo,koala,sheep,goat, , , , , , , 
149,tiger,cheetah,bear,squirrel,cat,dog,human,panther,hamster,fish,porccipine,giraffe,elephant,gorilla,dolphin,whale,at,hippo,99,99,99,99,99,99,99,99,99,99, , , , , , , 
150,cat,dog,zebra,chocolate lab,balck lab,yellow lab,tiger,monkey,whale,dolphin,shark,seal,walrus,bird,worm,squirrel,deer,lion,panada,99,99,99,99,99,99,99,99,99, , , , , , , 
155,Cat,Dog,Hamster,Parrot,Goat,Cow,Hog,Ant,Ant Eater,Tiger,Lynx,Lion,Bear,Deer,Snake,Rat,Mouse,Ferrot,99,99,99,99,99,99,99,99,99,99, , , , , , , 
156,cat,dog,mouse,snake,tiger,frog,moose,elephant,deer,raccoon,polar bear,bear,fish,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
157,dog,cat,mouse,hamster,bird,tiger,goose,duck,monkey,giraffe,dinosaur,turtle,fish,lion,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
158,dog,cat,fish,horse,bird,rat,mouse,deer,lion,tiger,bear,monkey,chimp,possom,eleephant,turtle,roach,ant,99,99,99,99,99,99,99,99,99,99, , , , , , , 
159,Dog,Cat,Mouse,Elephant,Tiger,Lion,Tiger,Bear,Snake,Ant Eater,Giraffe,Flamingo,Penguin,Horse,Duck,Goose,Fish,Rat,Bug,99,99,99,99,99,99,99,99,99, , , , , , , 
160,dog,cat,bear,dolphin,frog,ant,snake,spider,bird,rabbit,fish,whale,zebra,hippo,manatee,polar bear,moose,deer,lobster,shrimp,starfish,sting ray,99,99,99,99,99,99, , , , , , , 
161,cat,dog,pig,bull,wolf,goldfish,turtle,giraffe,zebra,rattlesnakes,naked molerat,"tigers """,lions,bears,birds,flammingos,fish,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
162,dog,cat,fish,monkey,tiger,lion,bird,hamster,snake,horse,girrafe,camel,rhino,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
163,dog,cat,owl,wolf,rat,raccoon,lion,tiger,bear,shark,crab,bear,ant eater,bird,hawk,eagle,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
165,dogs,cats,cows,horses,cheetahs,tigers,lions,bears,frogs,bull,giraffe,snake,hamster,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
166,elephant,cat,dog,mouse,rabbit,snake,spider,griaffe,tiger,bear,lion,fish,shark,hamster,ferrett,donkey,bird,horse,pony,goat,99,99,99,99,99,99,99,99, , , , , , , 
167,dog,cat,giraffe,monkey,pig,bird,guinea pig,hamster,cow,zebra,tiger,lion,eagle,dolphin,shark,seahorse,bear,polar bear,deer,possum,sheep,koala,snake,rabbit,frog,ladybug,spider,bunny, , , , , , , 
173,cat,dpg,monkeys,fish,birds,lion,tiger,snake,turtle,rats,cows,horses,pigs,chickens,duck,worm,bee,ant,spider,crocodile,alligator,eagle,99,99,99,99,99,99, , , , , , , 
193,dog,cat,hawk,fish,lion,tiger,bear,giraffe,koala,snake,hamster,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
198,cow,cat,dog,rabbit,turlte,giraffw,elphant,tiger,lion,bird,bear,mouse,rat,rhino,himpo,goat,horse,possum,raccoon,99,99,99,99,99,99,99,99,99, , , , , , , 
200,dogs,cats,cows,ducks,monkeys,elephants,giraffes,zebra,horses,fish,birds,dinosours,turtles,alligators,spiders,flys,moths,owls,squirrles,geese,99,99,99,99,99,99,99,99, , , , , , , 
202,giraffe,koala bear,snake,spider,ants,roaches,birds,worms,mosquitoes,monkeys,zebra,cheetah,bull,horse,shark,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
203,penguin,girafe,lion,tiger,bear,bird,monkey,fish,alligator,elephant,chimpanze,flamingo,shark,whale,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
205,lion,monkey,dog,lion,tiger,leopard,snake,frog,giraffe,donkey,horse,fish,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
206,dog,cat,mouse,rabbit,deer,elephant,rhino,giraffe,seagul,eagle,bear,tiger,lion,zebra,bat,hyena,seal,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
207,lemur,ape,dog,cat,monkey,giraffe,lion,tigers,bear,snake,dophin,fish,crab,shrimp,tuna,squirrel,racoon,cock roach,ant,bee,hamster,pig,horse,cow,bunny,99,99,99, , , , , , , 
208,dogs,cats,fish,panda,koala bear,monkey,lion,tiger,cheetah,owl,mouse,giraffe,dolphin,whale,shark,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
209,dog,cat,giraffe,octopus,panda,bird,fish,horse,cow,parrot,donkey,cheetah,sheep,leopard,monkey,ape,gorilla,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
210,giraffe,dog,cat,lion,beaver,skunk,monkey,pig,owl,horse,frog,zebra,leopard,fish,gorilla,elephant,duck,turkey,cow,shark,teranchilla,koala,99,99,99,99,99,99, , , , , , , 
211,dog,cat,horse,bird,fish,shark,rhino,hippo,llama,moose,goose,rat,hampster,deer,elephant,snake,turtles,monkey,99,99,99,99,99,99,99,99,99,99, , , , , , , 
213,giraffe,dog,cat,fish,dolphin,shark,turtle,whale,bear,penguin,seal,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
214,dog,cat,elephant,chipmonk,tiger,cheetah,horse,monkey,Champanzi,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
215,cat,dog,rabbit,squirel,bear,lion,tiger,flamingo,bird,fly,sheep,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
217,cats,dogs,fish,giraffe,elephant,monkey,lizard,frog,snake,rabbit,bird,cheetah,deer,skunk,bear,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
218,Butterfly,Mosquito,Mountain Lion,Tiger,Cat,Dog,Trout,Large-mouth Bass,Small-mouth Bass,White-tailed Deer,Flying Squirrel,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
219,dog,cat,cow,ant,bull,horse,piny,pony,bird,chicken,rooster,hen,goat,pig,whale,fish,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
221,cat,dog,mouse,rat,gerbil,fish,tiger,lion,bear,lizard,snake,ape,giraff,elephant,chimpazee,parrot,hermit crab,whale,99,99,99,99,99,99,99,99,99,99, , , , , , , 
222,cat,dog,cheetah,seal,fish,bird,bear,beaver,pig,chicken,goat,cow,sheep,lamb,donkey,lion,tiger,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
224,dog,cat,mouse,monkey,fish,rabbitt,snake,giraffe,panda,black bear,koala,kangaroo,elephant,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
225,bird,cat,dog,flamingo,bee,frog,turtle,fish,sting ray,shark,jelly fish,crab,bunny,racoon,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
226,dog,cat,lion,tiger,raccoon,coyote,wolf,beaver,moose,caribou,platypus,lemurs,giraffe,zebra,parrot,seal,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
227,dog,cat,lizard,shark,bear,goat,llama,hamster,fox,turkey,pig,bird,cow,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
228,cow,chicken,dog,cat,fish,lion,leopard,elephant,rhino,giraffe,lizard,spider,mouse,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
229,snake,pig,dog,cat,zebra,giraffe,armadillo,frog,ant,roach,tiger,lion,elephant,crocodile,fish,hamster,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
230,cat,dog,parrot,bird,ant,mouse,lion,tiger,panda,fish,squirrel,monkey,roach,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
